Region,Key,Value
Capital District,Regional School Alums,22.34
Central New York,Regional School Alums,25.04
Finger Lakes,Regional School Alums,26.30
Hudson Valley,Regional School Alums,16.80
Long Island,Regional School Alums,31.71
Mohawk Valley,Regional School Alums,42.83
NYC,Regional School Alums,7.47
North Country,Regional School Alums,53.85
Southern Tier,Regional School Alums,31.69
Western NY,Regional School Alums,55.56
Capital District,Non-Regional Alums,13.66
Central New York,Non-Regional Alums,21.96
Finger Lakes,Non-Regional Alums,16.70
Hudson Valley,Non-Regional Alums,15.20
Long Island,Non-Regional Alums,13.29
Mohawk Valley,Non-Regional Alums,30.17
NYC,Non-Regional Alums,32.53
North Country,Non-Regional Alums,19.15
Southern Tier,Non-Regional Alums,26.31
Western NY,Non-Regional Alums,8.44
